provincia;anio;mes_numero;mes;precipitacion_total_mm;precipitacion_promedio_mm;precipitacion_maxima_mm;dias_con_lluvia
Alajuela;2018;1;Enero;71.9;2.32;15.7;16
Alajuela;2018;2;Febrero;3.8;0.14;2.8;3
Alajuela;2018;3;Marzo;7.4;0.24;1.8;9
Alajuela;2018;4;Abril;112.3;3.74;23.2;25
Alajuela;2018;5;Mayo;328.3;10.59;43.0;29
Alajuela;2018;6;Junio;456.2;15.21;57.6;30
Alajuela;2018;7;Julio;233.2;7.52;31.7;28
Alajuela;2018;8;Agosto;207.8;6.7;36.3;27
Alajuela;2018;9;Setiembre;471.9;15.73;45.7;30
Alajuela;2018;10;Octubre;581.7;18.76;68.8;29
Alajuela;2018;11;Noviembre;261.4;8.71;40.4;27
Alajuela;2018;12;Diciembre;13.5;0.44;3.4;10
Alajuela;2019;1;Enero;2.4;0.08;0.7;5
Alajuela;2019;2;Febrero;3.1;0.11;0.7;10
Alajuela;2019;3;Marzo;26.1;0.84;9.0;9
Alajuela;2019;4;Abril;62.0;2.07;13.9;22
Alajuela;2019;5;Mayo;506.4;16.34;66.4;31
Alajuela;2019;6;Junio;336.6;11.22;52.3;26
Alajuela;2019;7;Julio;128.7;4.15;15.9;26
Alajuela;2019;8;Agosto;254.8;8.22;30.3;29
Alajuela;2019;9;Setiembre;561.2;18.71;85.3;30
Alajuela;2019;10;Octubre;646.9;20.87;58.6;31
Alajuela;2019;11;Noviembre;178.7;5.96;26.3;26
Alajuela;2019;12;Diciembre;107.9;3.48;31.4;23
Alajuela;2020;1;Enero;31.9;1.03;10.6;18
Alajuela;2020;2;Febrero;6.2;0.21;2.9;7
Alajuela;2020;3;Marzo;6.9;0.22;1.6;7
Alajuela;2020;4;Abril;94.5;3.15;15.7;23
Alajuela;2020;5;Mayo;322.3;10.4;40.0;31
Alajuela;2020;6;Junio;597.5;19.92;68.8;29
Alajuela;2020;7;Julio;390.1;12.58;52.2;27
Alajuela;2020;8;Agosto;743.3;23.98;69.8;30
Alajuela;2020;9;Setiembre;609.2;20.31;75.1;30
Alajuela;2020;10;Octubre;791.6;25.54;80.2;30
Alajuela;2020;11;Noviembre;824.7;27.49;110.4;30
Alajuela;2020;12;Diciembre;121.9;3.93;50.3;20
Alajuela;2021;1;Enero;38.2;1.23;30.8;11
Alajuela;2021;2;Febrero;16.2;0.58;3.4;14
Alajuela;2021;3;Marzo;55.9;1.8;39.8;10
Alajuela;2021;4;Abril;231.3;7.71;33.9;25
Alajuela;2021;5;Mayo;348.3;11.24;52.5;27
Alajuela;2021;6;Junio;380.9;12.7;36.5;30
Alajuela;2021;7;Julio;447.7;14.44;144.0;26
Alajuela;2021;8;Agosto;655.3;21.14;104.9;29
Alajuela;2021;9;Setiembre;587.1;19.57;67.1;30
Alajuela;2021;10;Octubre;680.4;21.95;96.3;31
Alajuela;2021;11;Noviembre;240.4;8.01;61.5;25
Alajuela;2021;12;Diciembre;21.6;0.7;6.6;19
Alajuela;2022;1;Enero;7.0;0.23;1.9;8
Alajuela;2022;2;Febrero;4.0;0.14;1.4;7
Alajuela;2022;3;Marzo;23.1;0.75;5.3;16
Alajuela;2022;4;Abril;336.6;11.22;40.2;28
Alajuela;2022;5;Mayo;588.6;18.99;56.1;31
Alajuela;2022;6;Junio;618.5;20.62;55.8;30
Alajuela;2022;7;Julio;499.3;16.11;43.3;30
Alajuela;2022;8;Agosto;484.6;15.63;47.5;30
Alajuela;2022;9;Setiembre;611.9;20.4;73.5;30
Alajuela;2022;10;Octubre;688.0;22.19;69.9;31
Alajuela;2022;11;Noviembre;571.5;19.05;98.9;29
Alajuela;2022;12;Diciembre;11.2;0.36;2.9;12
Alajuela;2023;1;Enero;43.0;1.39;20.8;18
Alajuela;2023;2;Febrero;0.0;0.0;0.0;0
Alajuela;2023;3;Marzo;98.5;3.18;33.7;18
Alajuela;2023;4;Abril;43.2;1.44;7.3;21
Alajuela;2023;5;Mayo;271.2;8.75;101.5;27
Alajuela;2023;6;Junio;369.6;12.32;41.2;30
Alajuela;2023;7;Julio;490.0;15.81;54.4;26
Alajuela;2023;8;Agosto;542.3;17.49;52.9;30
Alajuela;2023;9;Setiembre;521.0;17.37;54.2;30
Alajuela;2023;10;Octubre;732.9;23.64;76.0;31
Alajuela;2023;11;Noviembre;408.3;13.61;43.5;29
Alajuela;2023;12;Diciembre;62.1;2.0;19.5;13
Alajuela;2024;1;Enero;12.5;0.4;6.7;7
Alajuela;2024;2;Febrero;17.7;0.61;4.4;11
Alajuela;2024;3;Marzo;31.4;1.01;3.2;19
Alajuela;2024;4;Abril;164.3;5.48;34.1;21
Alajuela;2024;5;Mayo;514.3;16.59;71.9;30
Alajuela;2024;6;Junio;754.3;25.14;63.9;30
Alajuela;2024;7;Julio;519.9;16.77;58.2;29
Alajuela;2024;8;Agosto;574.6;18.54;58.7;31
Alajuela;2024;9;Setiembre;552.3;18.41;43.2;30
Alajuela;2024;10;Octubre;621.4;20.05;67.0;30
Alajuela;2024;11;Noviembre;871.8;29.06;87.0;30
Alajuela;2024;12;Diciembre;212.1;6.84;51.7;23
Cartago;2018;1;Enero;139.8;4.51;20.7;24
Cartago;2018;2;Febrero;4.4;0.16;1.7;7
Cartago;2018;3;Marzo;2.0;0.06;0.6;9
Cartago;2018;4;Abril;66.6;2.22;29.9;23
Cartago;2018;5;Mayo;176.4;5.69;14.0;29
Cartago;2018;6;Junio;183.8;6.13;70.6;30
Cartago;2018;7;Julio;170.8;5.51;22.4;30
Cartago;2018;8;Agosto;97.0;3.13;29.9;30
Cartago;2018;9;Setiembre;206.0;6.87;30.6;30
Cartago;2018;10;Octubre;336.1;10.84;40.1;27
Cartago;2018;11;Noviembre;189.1;6.3;40.5;28
Cartago;2018;12;Diciembre;21.1;0.68;7.4;18
Cartago;2019;1;Enero;3.3;0.11;0.8;11
Cartago;2019;2;Febrero;15.0;0.54;6.9;14
Cartago;2019;3;Marzo;24.7;0.8;11.2;19
Cartago;2019;4;Abril;34.6;1.15;4.9;24
Cartago;2019;5;Mayo;441.1;14.23;66.0;31
Cartago;2019;6;Junio;94.0;3.13;25.9;28
Cartago;2019;7;Julio;114.0;3.68;36.4;29
Cartago;2019;8;Agosto;115.2;3.72;28.8;29
Cartago;2019;9;Setiembre;210.7;7.02;31.6;30
Cartago;2019;10;Octubre;341.1;11.0;57.4;31
Cartago;2019;11;Noviembre;164.5;5.48;46.9;27
Cartago;2019;12;Diciembre;132.7;4.28;34.0;26
Cartago;2020;1;Enero;85.8;2.77;23.9;27
Cartago;2020;2;Febrero;17.9;0.62;3.9;19
Cartago;2020;3;Marzo;6.0;0.19;1.4;15
Cartago;2020;4;Abril;76.1;2.54;23.2;24
Cartago;2020;5;Mayo;152.5;4.92;37.4;30
Cartago;2020;6;Junio;255.2;8.51;43.0;30
